Date;Time;Temperature;Current;Heater State
07/12/2024;18:00:00;17.2;5.5;ON
07/12/2024;18:00:45;17.6;5.5;ON
07/12/2024;18:01:30;18.1;5.5;ON
07/12/2024;18:02:15;18.5;5.5;ON
07/12/2024;18:03:00;18.9;5.5;ON
07/12/2024;18:03:45;19.3;5.5;ON
07/12/2024;18:04:30;19.5;0;OFF
07/12/2024;18:05:15;19.4;0;OFF
07/12/2024;18:06:00;19.2;0;OFF
07/12/2024;18:06:45;18.9;0;OFF
07/12/2024;18:07:30;18.5;5.5;ON
07/12/2024;18:08:15;18.9;5.5;ON
07/12/2024;18:09:00;19.3;5.5;ON
07/12/2024;18:09:45;19.5;0;OFF
07/12/2024;18:10:30;19.6;0;OFF
07/12/2024;18:11:15;19.4;0;OFF
07/12/2024;18:12:00;19.1;0;OFF
07/12/2024;18:12:45;18.8;0;OFF
07/12/2024;18:13:30;18.5;5.5;ON
07/12/2024;18:14:15;18.9;5.5;ON
07/12/2024;18:15:00;19.3;5.5;ON
07/12/2024;18:15:45;19.5;0;OFF
07/12/2024;18:16:30;19.4;0;OFF
07/12/2024;18:17:15;19.2;0;OFF
07/12/2024;18:18:00;18.9;0;OFF
07/12/2024;18:18:45;18.5;5.5;ON
07/12/2024;18:19:30;18.9;5.5;ON
07/12/2024;18:20:15;19.3;5.5;ON
07/12/2024;18:21:00;19.5;0;OFF
08/12/2024;18:00:00;18;5.5;ON
08/12/2024;18:00:45;18.4;5.5;ON
08/12/2024;18:01:30;18.8;5.5;ON
08/12/2024;18:02:15;19.2;5.5;ON
08/12/2024;18:03:00;19.5;0;OFF
08/12/2024;18:03:45;19.6;0;OFF
08/12/2024;18:04:30;19.3;0;OFF
08/12/2024;18:05:15;19;0;OFF
08/12/2024;18:06:00;18.7;0;OFF
08/12/2024;18:06:45;18.5;5.5;ON
08/12/2024;18:07:30;18.9;5.5;ON
08/12/2024;18:08:15;19.4;5.5;ON
08/12/2024;18:09:00;19.5;0;OFF
08/12/2024;18:09:45;19.3;0;OFF
08/12/2024;18:10:30;19;0;OFF
08/12/2024;18:11:15;18.7;0;OFF
08/12/2024;18:12:00;18.5;5.5;ON
08/12/2024;18:12:45;18.9;5.5;ON
08/12/2024;18:13:30;19.3;5.5;ON
08/12/2024;18:14:15;19.5;0;OFF
08/12/2024;18:15:00;19.4;0;OFF
08/12/2024;18:15:45;19.2;0;OFF
08/12/2024;18:16:30;18.9;0;OFF
08/12/2024;18:17:15;18.5;5.5;ON
08/12/2024;18:18:00;18.9;5.5;ON
08/12/2024;18:18:45;19.3;5.5;ON
08/12/2024;18:19:30;19.5;0;OFF
08/12/2024;18:20:15;19.4;0;OFF
08/12/2024;18:21:00;19.2;0;OFF
09/12/2024;18:00:00;16;5.5;ON
09/12/2024;18:00:45;16.5;5.5;ON
09/12/2024;18:01:30;17.2;5.5;ON
09/12/2024;18:02:15;17.8;5.5;ON
09/12/2024;18:03:00;18.3;5.5;ON
09/12/2024;18:03:45;18.8;5.5;ON
09/12/2024;18:04:30;19.5;0;OFF (AUTO)
09/12/2024;18:05:15;19.3;0;OFF (MANUAL)
09/12/2024;18:06:00;18.8;0;OFF (MANUAL)
09/12/2024;18:06:45;18.2;0;OFF (MANUAL)
09/12/2024;18:07:30;17.8;5.5;ON
09/12/2024;18:08:15;18.4;5.5;ON
09/12/2024;18:09:00;19;5.5;ON
09/12/2024;18:09:45;19.5;0;OFF
09/12/2024;18:10:30;19.3;0;OFF
09/12/2024;18:11:15;19.1;0;OFF
09/12/2024;18:12:00;18.8;0;OFF
09/12/2024;18:12:45;18.5;5.5;ON
09/12/2024;18:13:30;18.9;5.5;ON
09/12/2024;18:14:15;19.3;5.5;ON
09/12/2024;18:15:00;19.5;0;OFF
09/12/2024;18:15:45;19.4;0;OFF
09/12/2024;18:16:30;19.2;0;OFF
09/12/2024;18:17:15;18.9;0;OFF
09/12/2024;18:18:00;18.5;5.5;ON
09/12/2024;18:18:45;18.9;5.5;ON
09/12/2024;18:19:30;19.3;5.5;ON
09/12/2024;18:20:15;19.5;0;OFF
