Day;Time;Temperature;Current;Heater state
07/12/2024;6:25:00;17.00;0.00;OFF
07/12/2024;6:25:45;17.16;0.00;OFF
07/12/2024;6:26:30;16.59;0.00;OFF
07/12/2024;6:27:15;17.08;5.58;ON
07/12/2024;6:28:00;17.16;5.53;ON
07/12/2024;6:28:45;17.08;5.50;ON
07/12/2024;6:29:30;17.16;5.54;ON
07/12/2024;6:30:15;16.91;5.49;ON
07/12/2024;6:31:00;17.48;5.49;ON
07/12/2024;6:31:45;18.20;5.46;ON
07/12/2024;6:32:30;17.88;5.45;ON
07/12/2024;6:33:15;17.64;5.46;ON
07/12/2024;6:34:00;17.56;5.45;ON
07/12/2024;6:34:45;17.96;5.46;ON
07/12/2024;6:35:30;18.20;5.44;ON
07/12/2024;6:36:15;18.04;5.43;ON
07/12/2024;6:37:00;18.04;5.41;ON
07/12/2024;6:37:45;18.20;5.43;ON
07/12/2024;6:38:30;17.96;5.42;ON
07/12/2024;6:39:15;17.96;5.41;ON
07/12/2024;6:40:00;18.45;5.40;ON
07/12/2024;6:40:45;18.45;5.40;ON
07/12/2024;6:41:30;18.45;5.40;ON
07/12/2024;6:42:15;18.45;5.39;ON
07/12/2024;6:43:00;19.01;5.38;ON
07/12/2024;6:43:45;18.69;5.38;ON
07/12/2024;6:44:30;19.25;5.37;ON
07/12/2024;6:45:15;19.33;5.37;ON
07/12/2024;6:46:00;19.49;5.38;ON
07/12/2024;6:46:45;19.17;5.38;ON
07/12/2024;6:47:30;19.81;5.36;ON
07/12/2024;6:48:15;19.33;5.37;ON
07/12/2024;6:49:00;19.41;5.37;ON
07/12/2024;6:49:45;19.73;5.37;ON
07/12/2024;6:50:30;19.65;5.37;ON
07/12/2024;6:51:15;19.65;5.36;ON
07/12/2024;6:52:00;19.65;5.36;ON
07/12/2024;6:52:45;19.57;5.37;ON
07/12/2024;6:53:30;20.22;5.36;ON
07/12/2024;6:54:15;19.81;5.35;ON
07/12/2024;6:55:00;19.90;5.35;ON
07/12/2024;6:55:45;20.38;5.36;ON
07/12/2024;6:56:30;19.98;5.35;ON
07/12/2024;6:57:15;19.98;5.35;ON
07/12/2024;6:58:00;20.78;5.34;ON
07/12/2024;6:58:45;19.90;5.35;ON
07/12/2024;6:59:30;20.62;5.36;ON
07/12/2024;7:00:15;20.22;5.37;ON
07/12/2024;7:01:00;20.54;5.35;ON
